City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,75.16,Clouds,-22.9661,-42.0278,Pousada Porto Praia
6,Adrar,MR,89.38,Clouds,20.5022,-10.0711,
8,Hamilton,US,76.24,Clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
9,Abu Kamal,SY,85.86,Clouds,34.4506,40.9171,البوكمال
10,Susangerd,IR,87.12,Clear,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
13,Veraval,IN,82.44,Clouds,20.9,70.3667,Lords Inn Somnath
25,Avarua,CK,82.45,Clouds,-21.2078,-159.775,Paradise Inn
27,Namatanai,PG,79.63,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
31,Kapaa,US,81.12,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Butaritari,KI,81.55,Clouds,3.0707,172.7902,Isles Sunset Lodge
39,Mason City,US,86.27,Clear,43.1536,-93.201,Days Inn by Wyndham Mason City
41,Atuona,PF,78.39,Clouds,-9.8,-139.0333,Villa Enata
43,Tecolutla,MX,86.58,Clouds,20.4833,-97.0167,Hotel Plaza Marsol
45,Vaitape,PF,81.27,Clouds,-16.5167,-151.75,Conrad Bora Bora Nui
47,Isangel,VU,77.95,Clear,-19.55,169.2667,Tanna Lodge
48,Puerto Ayora,EC,80.56,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Acarau,BR,77.47,Clouds,-2.8856,-40.12,castelo pizzaria
55,Hithadhoo,MV,83.86,Clouds,-0.6,73.0833,Scoop Guest House
66,Tulum,MX,86.2,Clouds,20.2167,-87.4667,Kin Ha Tulum
71,Rikitea,PF,76.08,Clear,-23.1203,-134.9692,People ThankYou
75,Hilo,US,85.28,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
76,Slidell,US,88.3,Clear,30.2752,-89.7812,Hampton Inn Slidell
78,Quatre Cocos,MU,75.31,Rain,-20.2078,57.7625,Sunrise Attitude Hotel
84,Aksu,CN,77.4,Clouds,41.1231,80.2644,Pudong Holiday Hotel
85,Vaini,TO,78.96,Clouds,-21.2,-175.2,Keleti Beach Resort
86,Pochutla,MX,77.81,Clouds,15.7432,-96.4661,Hotel Posada San Jose
90,Souillac,MU,75.58,Clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
92,Georgetown,MY,80.53,Clouds,5.4112,100.3354,Cititel Penang
100,Inirida,CO,81.23,Clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
103,Puerto Escondido,MX,80.91,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
105,Edd,ER,88.66,Clouds,13.9297,41.6925,
106,Barra Do Garcas,BR,86.58,Clouds,-15.89,-52.2567,Pousada Tropical
111,Darnah,LY,75.42,Clouds,32.767,22.6367,فندق الفردوس
114,Lorengau,PG,79.39,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Kumo,NG,87.53,Clear,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
123,Sabya,SA,89.22,Clear,17.1495,42.6254,Aseel Hotel Apartment
127,Puerto Lleras,CO,79.93,Clouds,3.0223,-73.4044,
128,Nautla,MX,87.82,Clouds,20.2167,-96.7833,Casa Blanca
133,Takoradi,GH,79.34,Clouds,4.8845,-1.7554,Raybow International Hotel
134,Sur,OM,86.47,Clear,22.5667,59.5289,Sur Plaza Hotel
136,Padang,ID,77.02,Clouds,-0.9492,100.3543,Mercure Padang
137,Kavaratti,IN,81.39,Clouds,10.5669,72.642,Hotels in Lakshadweep Islands
142,Mitsamiouli,KM,78.44,Clouds,-11.3847,43.2844,Foyer ADM
151,Pimenteiras,BR,77.02,Clouds,-6.2453,-41.4192,Hotel rotativo pimentas
154,Sadat,IN,87.93,Clear,25.6833,83.2833,Tuntun Niwas
158,Bandarbeyla,SO,80.24,Clouds,9.4942,50.8122,JABIR HOTEL
160,Vila Velha,BR,75.15,Clear,-20.3297,-40.2925,Hotel Vitória Palace
161,Mahebourg,MU,75.49,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Mandera,KE,81.59,Clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
170,Planeta Rica,CO,83.98,Clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
171,Martapura,ID,77.09,Clouds,-3.4167,114.85,Montana Hotel Syariah
173,Champua,IN,85.8,Clouds,22.0833,85.6667,Rahul Nayak jaintgarh
175,Labuhan,ID,78.62,Clouds,-6.8844,112.2051,DoubleFAG
183,Marsh Harbour,BS,81.05,Rain,26.5412,-77.0636,Abaco Beach Resort
184,Havelock,US,82.98,Clouds,34.8791,-76.9013,Sherwood Motel
191,Basay,PH,79.93,Clouds,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
193,Alanya,TR,78.08,Clear,36.5438,31.9998,Panorama Hotel
199,Kavieng,PG,80.89,Clouds,-2.5744,150.7967,Nusa Island Retreat
201,Hobyo,SO,78.26,Clouds,5.3505,48.5268,Iftin hotel hobyo
203,Laguna,US,79.18,Clear,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
208,Tiarei,PF,84.22,Rain,-17.5333,-149.3333,Le Rocher de Tahiti
211,Kot Isa Khan,IN,89.13,Clear,30.95,75.1333,Bawa Family
213,Janakpur,NP,83.5,Clouds,26.7183,85.9065,Hotel Sita Palace
214,Almeirim,BR,77.45,Clouds,-1.5233,-52.5817,Ricácio Hotel
