City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,2022-05-28 20:54:59,42.097,-79.2353,67.01,76,75,5.75,Clouds
1,Baykit,RU,2022-05-28 20:55:00,61.67,96.37,46.71,61,99,3.24,Clouds
2,Arraial Do Cabo,BR,2022-05-28 20:55:00,-22.9661,-42.0278,75.16,78,75,9.22,Clouds
3,Mataura,NZ,2022-05-28 20:55:00,-46.1927,168.8643,40.48,90,100,2.91,Clouds
4,Bethel,US,2022-05-28 20:55:01,41.3712,-73.414,70.02,90,78,4.92,Rain
5,Nanortalik,GL,2022-05-28 20:55:01,60.1432,-45.2371,41.0,81,96,7.0,Clouds
6,Adrar,MR,2022-05-28 20:55:01,20.5022,-10.0711,89.38,31,35,7.61,Clouds
7,Sao Filipe,CV,2022-05-28 20:55:02,14.8961,-24.4956,73.8,85,46,7.94,Clouds
8,Hamilton,US,2022-05-28 20:51:38,39.1834,-84.5333,76.24,70,100,4.61,Clouds
9,Abu Kamal,SY,2022-05-28 20:55:03,34.4506,40.9171,85.86,12,67,3.53,Clouds
10,Susangerd,IR,2022-05-28 20:55:03,31.5608,48.1831,87.12,9,0,8.25,Clear
11,Cape Town,ZA,2022-05-28 20:51:12,-33.9258,18.4232,62.38,87,75,18.41,Rain
12,Nikolskoye,RU,2022-05-28 20:55:04,59.7035,30.7861,46.78,96,17,1.19,Clouds
13,Veraval,IN,2022-05-28 20:51:22,20.9,70.3667,82.44,75,99,16.71,Clouds
14,Ushuaia,AR,2022-05-28 20:51:29,-54.8,-68.3,37.06,81,40,20.71,Clouds
15,Aklavik,CA,2022-05-28 20:55:05,68.2191,-135.0107,41.0,65,75,3.44,Clouds
16,Busselton,AU,2022-05-28 20:55:05,-33.65,115.3333,55.76,65,100,14.74,Clouds
17,Severo-Kurilsk,RU,2022-05-28 20:55:06,50.6789,156.125,43.59,96,100,9.46,Clouds
